timestamp,CO2,fuel,noise,standing_cars
1,2624.722222222222,1.1283318358790055,55.94027641010836,42
2,2688.6084351402783,1.1557874961446692,59.6954932884039,42
3,2757.7108546354857,1.1854856476737843,59.96394435033057,42
4,2727.287933069282,1.1724043521646508,59.50091911169372,42
5,2817.080840873224,1.2109973718070268,60.04764852490099,42
6,2691.334556518997,1.1569426858065759,59.417845280644826,42
7,2670.5086334433367,1.1479881424827887,59.44323966677285,42
8,2924.6026484457334,1.2572063266173605,60.590656131249936,42
9,2789.7414793478356,1.199233891659906,60.223973250704105,42
10,2899.490741258281,1.2464065783479192,60.712490719191585,42
11,2959.1894847614108,1.272065247451424,61.027620908445726,42
12,3307.1046309290405,1.421612510062041,62.04895631413517,42
13,3212.3616411782855,1.3808847432396048,61.990807794318634,42
14,3652.7635557299404,1.5701873756986682,63.04537999732122,42
15,3646.8490001055025,1.5676422833352797,63.212237620498485,42
16,3752.889169107447,1.6132209268625115,63.58480936170842,42
17,3669.5708595413034,1.577404673350068,63.67638704014543,42
18,4367.207728319043,1.8772799302446106,64.84685099685093,42
19,3981.847372586087,1.7116318505689108,64.60360213489412,42
20,3522.0225210307076,1.5139759665114265,64.31094958639476,42
21,3875.088489420472,1.6657393840620305,64.89794765759275,42
22,4545.786562732323,1.9540360818701414,65.81175286028224,42
23,3692.5651221560556,1.5872798549729927,65.25221884133867,42
24,4164.497174719675,1.7901379708774983,65.87218984579066,42
25,5228.513453789709,2.247502027791115,67.02098326769979,42
26,5348.703476937188,2.2991645994298353,67.38455199287017,42
27,4263.0880966744135,1.8325146995843982,66.83547734061708,42
28,6013.60738522466,2.584971187409703,68.30009907313296,42
29,0.0,0.0,66.03394538692375,42
30,2783.396449335029,1.1964718416227178,66.39484741985429,42
31,0.0,0.0,66.29979519080719,42
32,2659.0342373475737,1.143015002964166,66.33791684254193,42
33,3456.450579887182,1.4857826433279893,66.83903880068685,42
34,0.0,0.0,66.30467068664996,42
35,0.0,0.0,65.69280694455865,42
36,3793.679441514523,1.6307397952940905,66.98148723733597,42
37,0.0,0.0,65.74697760158081,42
38,3361.3309866085565,1.4448957640697415,66.70959284061826,42
39,3325.470448780062,1.4294811031159531,66.77863476548396,42
40,0.0,0.0,65.55468695121628,42
41,3029.767943894834,1.3023741444499326,66.48435309372209,42
42,2893.1261253976613,1.2436389070289826,66.45396136653486,42
43,0.0,0.0,66.18709475434623,42
44,3401.5659010941017,1.4621906078223408,66.7805850616135,42
45,0.0,0.0,59.976565184566695,42
46,0.0,0.0,61.486731931286236,42
47,0.0,0.0,62.641667312670464,42
48,2426.1313611112605,1.0429095998875035,63.24166691800657,42
49,0.0,0.0,62.756112925077346,42
50,0.0,0.0,62.18156012822776,42
51,0.0,0.0,62.79505188129924,42
52,2781.4863780056326,1.1956585219643356,63.49286024963186,42
53,2229.442155836133,0.9583634258719388,62.998888863810066,42
54,0.0,0.0,62.42392826160202,42
55,2251.935039163758,0.9680322904911646,62.9306497847325,42
